Time,x,y,z,q0,q1,q2,q3,u,v,w,p,q,r,VBS,LCG,DS,DR,RPM1,RPM2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.0,0.0,0.0,0.0,0.0
0.010003334444814937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003306823055932187,0.0,49.9,44.85,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.020006668889629875,0.0,0.0,0.0,1.0,0.0,1.6534115279660935e-06,0.0,0.05455518930467973,-0.00252899371275774,0.0030492018603301726,-0.011472526717724155,-0.03587452357464422,-0.018815764480235954,49.8,44.7,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.030010003334444812,0.0005455519938755245,-2.5289937127577403e-05,3.049021455955688e-05,1.0000000002965768,-5.736278913955186e-05,-0.00017771920634500983,-9.407872755701152e-05,0.1078201448096413,-0.004944861711313942,0.005979117968810243,-0.022684084248534606,-0.06932129019377684,-0.03665445541719341,49.699999999999996,44.550000000000004,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.04001333777925975,0.0016237227982084804,-7.493454111150472e-05,9.067030727637707e-05,0.999999914949821,-0.00017078324519278823,-0.0005243254922962187,-0.0002773512753106298,0.1598509030553823,-0.007260883940232294,0.008764644512523852,-0.0350271557338648,-0.09879730597983753,-0.053830804027987525,49.599999999999994,44.400000000000006,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.05001667222407469,0.0032220985124198215,-0.00014839981303016626,0.0001800179077246825,0.9999995513796613,-0.00034591487397843575,-0.0010183093209547645,-0.0005465127077055983,0.21067968202803022,-0.009475222174356302,0.011394184521242197,-0.04958534263458474,-0.12416398377029488,-0.07058039800781057,49.49999999999999,44.25000000000001,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.060020006668889625,0.005328554058894498,-0.00024537429631853663,0.00029831647016722717,0.9999986405662455,-0.00059382132934373,-0.00163911536702254,-0.0008994521561862634,0.2603243109335671,-0.011585306332035314,0.013865043301033381,-0.06539093966629433,-0.14616951397030745,-0.08681724891808633,49.39999999999999,44.10000000000001,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.07002334111370456,0.007931115955412347,-0.00036573992081148513,0.00044564010164623025,0.999996858031287,-0.0009207212435783613,-0.002369925220183318,-0.0013336394890590452,0.3088144467016146,-0.01359426100269698,0.016171832439452048,-0.08266536900644839,-0.1648750662389646,-0.10266441315083005,49.29999999999999,43.95000000000001,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.0800266755585195,0.011018085440107081,-0.0005096064249633295,0.0006222506573189123,0.9999938391809714,-0.0013339292698117235,-0.003194218551374808,-0.0018471799728082099,0.3561760396620955,-0.015494734569617847,0.018314604417532472,-0.10083126655974024,-0.18082676271709383,-0.11808388498723482,49.19999999999999,43.80000000000001,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.09003001000333444,0.014578005999502376,-0.0006771893486143969,0.000828575282286641,0.999989188067291,-0.0018378658915213916,-0.004098201716114998,-0.002437999187474838,0.40243522358294026,-0.017280524623511307,0.020293116378226336,-0.11908091883459768,-0.19453217854058352,-0.13301648368527585,49.09999999999999,43.65000000000001,0.10471975511965978,0.08726646259971647,1000.0,1000.0
0.10003334444814937,0.018599668565883135,-0.0008688032215010599,0.0010651507549684649,0.9999824861776164,-0.0024329084159862785,-0.005070620644263639,-0.003103725387340303,0.4476171007117853,-0.01894927583239949,0.02210763391604255,-0.13697253967188652,-0.20631097725229403,-0.14745144564181786,48.999999999999986,43.500000000000014,0.10471975511965978,0.08726646259971647,1000.0,1000.0
