Time,x,y,z,q0,q1,q2,q3,u,v,w,p,q,r,VBS,LCG,DS,DR,RPM1,RPM2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.0,0.0,0.0,0.0,0.0
0.010003334444814937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003306823055932187,0.0,50.0,45.15,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
0.020006668889629875,0.0,0.0,0.0,1.0,0.0,1.6534115279660935e-06,0.0,0.05424660091903344,0.003529158232376327,0.003555661594718131,0.016035714126296265,-0.03925511723378692,0.026254941344325832,50.0,45.3,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
0.030010003334444812,0.0005424661267668058,3.529158232376327e-05,3.555482210788066e-05,1.0000000003245244,8.017878768248515e-05,-0.0001946221746407002,0.00013127457415327675,0.10739772090107844,0.006980277435891529,0.007027983084840029,0.03153326006487513,-0.07723714766992815,0.05196512224403875,50.0,45.449999999999996,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
0.04001333777925975,0.001616397534019911,0.0001053650181518351,0.00010626389870692685,0.9999998784142308,0.00023784521169837176,-0.0005808080360335928,0.0003910998988326334,0.15947040355433917,0.01034146502959243,0.010396225762676601,0.04600437734153935,-0.11207289793680197,0.07711200167468679,50.0,45.599999999999994,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
0.05001667222407469,0.0032108983415136075,0.00020997706010182518,0.00021212795051897331,0.9999993474480281,0.0004678622576550515,-0.0011411741145600073,0.0007766601203305135,0.21048140564292897,0.01360157107795666,0.013643024567359087,0.05904569805603048,-0.14259990427257985,0.10167721593917864,50.0,45.74999999999999,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
0.060020006668889625,0.005315181673981697,0.00034913184236500243,0.00035349025428497527,0.9999980008225204,0.0007630640356178913,-0.0018541814410448752,0.0012850489815692332,0.2604470036931296,0.016750125318118182,0.01675559160714115,0.07037707354165287,-0.16818377353432967,0.12564177297872733,50.0,45.89999999999999,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
0.07002334111370456,0.007918573206606272,0.0005230621866080718,0.0005309630446243979,0.9999953658183363,0.0011148642142352894,-0.0026951250976722267,0.0019132668493509726,0.3093829176812849,0.01977730486492509,0.019726122699551627,0.07985603339050915,-0.18872553022623273,0.14898598811754357,50.0,46.04999999999999,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
0.0800266755585195,0.011010514381986455,0.0007322113861271264,0.0007453494389581419,0.9999909522372378,0.0015139396845416874,-0.0036388135742733006,0.0026582163513421816,0.35730434354231255,0.022673933717454568,0.022551438253943682,0.08746855946755244,-0.20455225077633543,0.17169007058065439,50.0,46.19999999999999,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
0.09003001000333444,0.014580565403398029,0.000977215516177733,0.0009975706433623692,0.9999842865573323,0.0019508725209024145,-0.004661700361376758,0.003516700014095834,0.40422605545415163,0.025431506323622444,0.025232110245025398,0.0933029703643127,-0.2162534477086778,0.1937350568919882,50.0,46.34999999999999,0.12217304763960307,-0.12217304763960307,1000.0,1000.0
